Library,Run #,Time (s),CPU (%),Peak Memory (MB),Process Memory (MB),Records Returned,Throughput,Speedup vs Pandas,Winner
Pandas,1,0.227,110.13,15.767,489.93,198429,874104.22,1.012,
Pandas,2,0.2108,111.17,15.765,489.93,198429,941200.19,1.09,
Pandas,3,0.2318,107.86,15.766,489.94,198429,856128.08,0.991,
Pandas,4,0.2451,108.38,15.766,473.12,198429,809616.21,0.937,
Pandas,5,0.2341,106.81,15.769,480.16,198429,847799.5,0.982,
Pandas,Avg,0.2298,108.87,15.767,484.62,198429,865769.64,1.0,
Polars,1,0.1211,464.5,0.059,591.63,198429,1638587.39,1.897,
Polars,2,0.1206,479.29,0.059,688.67,198429,1645065.9,1.905,
Polars,3,0.1236,556.11,0.059,703.14,198429,1605078.88,1.858,
Polars,4,0.1286,437.34,0.06,700.83,198429,1542787.43,1.786,
Polars,5,0.1266,555.51,0.059,727.27,198429,1567691.63,1.815,
Polars,Avg,0.1241,498.55,0.059,682.31,198429,1599842.24,1.851,YES
Multiprocessing,1,3.087,427.7,100.235,776.75,198429,64278.84,0.074,
Multiprocessing,2,3.571,399.49,100.222,826.06,198429,55567.45,0.064,
Multiprocessing,3,3.3634,421.36,100.231,815.8,198429,58997.0,0.068,
Multiprocessing,4,3.4316,403.87,100.238,833.54,198429,57823.56,0.067,
Multiprocessing,5,3.4653,396.8,100.233,831.33,198429,57262.5,0.066,
Multiprocessing,Avg,3.3836,409.84,100.232,816.7,198429,58785.87,0.068,
PySpark,1,2.8004,230.44,0.1,773.92,198429,70858.05,0.082,
PySpark,2,2.0973,187.0,0.1,773.92,198429,94611.23,0.11,
PySpark,3,2.0632,186.3,0.098,772.92,198429,96174.5,0.111,
PySpark,4,2.0252,166.65,0.1,772.92,198429,97977.93,0.113,
PySpark,5,1.8932,137.0,0.1,772.92,198429,104811.69,0.121,
PySpark,Avg,2.1759,181.48,0.1,773.32,198429,92886.68,0.106,
